Parish,2021 population,2021 density (person/km2)
Grouville,5401,658
St Brelade,11012,830
St Clement,9925,2262
St Helier,35822,3716
St John,3051,332
St Lawrence,5561,566
St Martin,3948,384
St Mary,1818,277
St Ouen,4206,274
St Peter,5264,448
St Saviour,13904,1498
Trinity,3355,267
TOTAL,103267,859
