schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,category,subcategory,value,unit
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,workers_working_in,St Helier,66,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,workers_working_in,Semi-urban parishes,13,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,workers_working_in,Rural parishes,21,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,St Helier resident and worker,walk,69,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,St Helier resident and worker,car,24,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,rural resident working in town,car,75,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,rural resident working in town,cycle,9,percent
1.0,census_2021_report_manual_fixture,7a1e567cccc81a3814ef1020ad954e6caf51fe980066937917bdfb8d6b16af05,census_2021_report_pdf,2021-03-21,observed,pdf_page_81,manual_pdf_transcription_v1,workplace_destination,rural resident working in town,bus,8,percent
