schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,age_band,sex,count
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_8,csv_age_gender_long_v1,8,female,571
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_8,csv_age_gender_long_v1,8,all,1119
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_9,csv_age_gender_long_v1,9,male,586
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_9,csv_age_gender_long_v1,9,female,565
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_9,csv_age_gender_long_v1,9,all,1151
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_10,csv_age_gender_long_v1,10,male,543
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_10,csv_age_gender_long_v1,10,female,554
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_10,csv_age_gender_long_v1,10,all,1097
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_11,csv_age_gender_long_v1,11,male,542
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_11,csv_age_gender_long_v1,11,female,521
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_11,csv_age_gender_long_v1,11,all,1063
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_12,csv_age_gender_long_v1,12,male,526
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_12,csv_age_gender_long_v1,12,female,547
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_12,csv_age_gender_long_v1,12,all,1073
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_13,csv_age_gender_long_v1,13,male,532
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_13,csv_age_gender_long_v1,13,female,556
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_13,csv_age_gender_long_v1,13,all,1088
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_14,csv_age_gender_long_v1,14,male,495
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_14,csv_age_gender_long_v1,14,female,541
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_14,csv_age_gender_long_v1,14,all,1036
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_15,csv_age_gender_long_v1,15,male,545
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_15,csv_age_gender_long_v1,15,female,498
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_15,csv_age_gender_long_v1,15,all,1043
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_16,csv_age_gender_long_v1,16,male,540
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_16,csv_age_gender_long_v1,16,female,514
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_16,csv_age_gender_long_v1,16,all,1054
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_17,csv_age_gender_long_v1,17,male,551
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_17,csv_age_gender_long_v1,17,female,513
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_17,csv_age_gender_long_v1,17,all,1064
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_18,csv_age_gender_long_v1,18,male,494
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_18,csv_age_gender_long_v1,18,female,489
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_18,csv_age_gender_long_v1,18,all,983
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_19,csv_age_gender_long_v1,19,male,524
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_19,csv_age_gender_long_v1,19,female,507
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_19,csv_age_gender_long_v1,19,all,1031
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_20,csv_age_gender_long_v1,20,male,540
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_20,csv_age_gender_long_v1,20,female,515
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_20,csv_age_gender_long_v1,20,all,1055
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_21,csv_age_gender_long_v1,21,male,570
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_21,csv_age_gender_long_v1,21,female,524
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_21,csv_age_gender_long_v1,21,all,1094
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_22,csv_age_gender_long_v1,22,male,603
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_22,csv_age_gender_long_v1,22,female,570
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_22,csv_age_gender_long_v1,22,all,1173
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_23,csv_age_gender_long_v1,23,male,610
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_23,csv_age_gender_long_v1,23,female,532
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_23,csv_age_gender_long_v1,23,all,1142
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_24,csv_age_gender_long_v1,24,male,605
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_24,csv_age_gender_long_v1,24,female,582
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_24,csv_age_gender_long_v1,24,all,1187
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_25,csv_age_gender_long_v1,25,male,579
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_25,csv_age_gender_long_v1,25,female,505
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_25,csv_age_gender_long_v1,25,all,1084
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_26,csv_age_gender_long_v1,26,male,587
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_26,csv_age_gender_long_v1,26,female,566
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_26,csv_age_gender_long_v1,26,all,1153
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_27,csv_age_gender_long_v1,27,male,599
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_27,csv_age_gender_long_v1,27,female,583
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_27,csv_age_gender_long_v1,27,all,1182
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_28,csv_age_gender_long_v1,28,male,609
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_28,csv_age_gender_long_v1,28,female,598
1.0,census_2021_age_gender_csv,c0c1c2f211737129a8ec8f3db52442baf5ad0d85dd8f627e3f833314e9f9dabc,,2021-03-21,observed,csv_age_28,csv_age_gender_long_v1,28,all,1207
