schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,category,subcategory,value,unit
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_with_dependent_children_owner_occupied,csv_household_tenure_long_v1,households,household_type,Single parent (with dependent children) | Owner Occupied,380,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_with_dependent_children_social_rental,csv_household_tenure_long_v1,households,household_type,Single parent (with dependent children) | Social Rental,700,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_with_dependent_children_qualified_rental,csv_household_tenure_long_v1,households,household_type,Single parent (with dependent children) | Qualified Rental,490,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_with_dependent_children_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Single parent (with dependent children) | Staff or service accom.,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_with_dependent_children_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Single parent (with dependent children) | Registered lodging house,20,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_with_dependent_children_private_lodging,csv_household_tenure_long_v1,households,household_type,Single parent (with dependent children) | Private lodging,30,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_with_dependent_children_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Single parent (with dependent children) | Other non-qualified accom.,60,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_all_children_16_years_or_above_owner_occupied,csv_household_tenure_long_v1,households,household_type,Single parent (all children 16 years or above) | Owner Occupied,930,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_all_children_16_years_or_above_social_rental,csv_household_tenure_long_v1,households,household_type,Single parent (all children 16 years or above) | Social Rental,580,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_all_children_16_years_or_above_qualified_rental,csv_household_tenure_long_v1,households,household_type,Single parent (all children 16 years or above) | Qualified Rental,390,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_all_children_16_years_or_above_staff_or_service_accom,csv_household_tenure_long_v1,households,household_type,Single parent (all children 16 years or above) | Staff or service accom.,20,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_all_children_16_years_or_above_registered_lodging_house,csv_household_tenure_long_v1,households,household_type,Single parent (all children 16 years or above) | Registered lodging house,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_all_children_16_years_or_above_private_lodging,csv_household_tenure_long_v1,households,household_type,Single parent (all children 16 years or above) | Private lodging,10,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_single_parent_all_children_16_years_or_above_other_non_qualified_accom,csv_household_tenure_long_v1,households,household_type,Single parent (all children 16 years or above) | Other non-qualified accom.,40,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_dependent_children_owner_occupied,csv_household_tenure_long_v1,households,household_type,Couple with dependent children | Owner Occupied,4580,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_dependent_children_social_rental,csv_household_tenure_long_v1,households,household_type,Couple with dependent children | Social Rental,690,households
1.0,census_2021_household_type_tenure_csv,5404e3ccb551b5e27b4bd5edf1f628f9e52bf733cd495150746ecd7b6b059e66,,2021-03-21,observed,csv_couple_with_dependent_children_qualified_rental,csv_household_tenure_long_v1,households,household_type,Couple with dependent children | Qualified Rental,1920,households
