schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,sector,size_band,count,upper_bound,censoring,unit
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Hotels restaurants and bars,1,120,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Hotels restaurants and bars,2-5,180,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Hotels restaurants and bars,6-9,70,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Hotels restaurants and bars,10-19,70,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Hotels restaurants and bars,20-49,40,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Hotels restaurants and bars,50+,20,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Transport and storage,1,230,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Transport and storage,2-5,40,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Transport and storage,6-9,10,,exact,undertakings
1.0,labour_market_june_2025_manual_fixture,f2254ce92420ec96c9cc27b2282c0528a0a551c8a8db390720870cec305dca27,labour_market_june_2025_pdf,2025-06,observed,pdf_page_11,manual_pdf_transcription_v1,Transport and storage,10-19,10,,exact,undertakings
