schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,year,mode,passengers
1.0,passenger_arrivals_total_csv,da0fc97a508256ad44c88637573d5ff69de4b612f3a7702cde97a21602a8d194,,2025,observed,csv_2025,csv_arrivals_2025_long_v1,2025,sea,196623
1.0,passenger_arrivals_total_csv,da0fc97a508256ad44c88637573d5ff69de4b612f3a7702cde97a21602a8d194,,2025,observed,csv_2025,csv_arrivals_2025_long_v1,2025,air,720842
1.0,passenger_arrivals_total_csv,da0fc97a508256ad44c88637573d5ff69de4b612f3a7702cde97a21602a8d194,,2025,observed,csv_2025,csv_arrivals_2025_long_v1,2025,total,917465
