schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,measure,sector,sex,value,unit
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_financial_and_legal_services_male,csv_industry_sex_long_v1,resident_workers,Financial and legal services,male,5983,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_financial_and_legal_services_female,csv_industry_sex_long_v1,resident_workers,Financial and legal services,female,7050,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_financial_and_legal_services_all,csv_industry_sex_long_v1,resident_workers,Financial and legal services,all,13033,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_miscellaneous_business_activities_male,csv_industry_sex_long_v1,resident_workers,Miscellaneous business activities,male,3141,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_miscellaneous_business_activities_female,csv_industry_sex_long_v1,resident_workers,Miscellaneous business activities,female,2318,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_miscellaneous_business_activities_all,csv_industry_sex_long_v1,resident_workers,Miscellaneous business activities,all,5459,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_education_health_and_other_services_male,csv_industry_sex_long_v1,resident_workers,"Education, health, and other services",male,4700,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_education_health_and_other_services_female,csv_industry_sex_long_v1,resident_workers,"Education, health, and other services",female,10769,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_education_health_and_other_services_all,csv_industry_sex_long_v1,resident_workers,"Education, health, and other services",all,15469,people
1.0,census_2021_industry_sex_csv,fa5771d6a2b5ab80e8764d20596d3d0cf1f5b66b2da02dac82e00bd208850dbb,,2021-03-21,observed,csv_all_male,csv_industry_sex_long_v1,resident_workers,All,male,30395,people
