measure,sector,size_band,value,upper_bound,censoring,unit,reference_period,source_locator,notes
workplace_size,Miscellaneous business activities,2-5,420,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Miscellaneous business activities,6-9,80,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Miscellaneous business activities,10-19,70,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Miscellaneous business activities,20-49,40,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Miscellaneous business activities,50+,10,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Private education health and other services,1,1300,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Private education health and other services,2-5,320,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Private education health and other services,6-9,90,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Private education health and other services,10-19,70,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Private education health and other services,20-49,70,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Private education health and other services,50+,30,,,undertakings,2025-06,pdf_page_11,Private-sector undertakings.
workplace_size,Total private sector undertakings,1,5020,,,undertakings,2025-06,pdf_page_11,Private-sector total.
workplace_size,Total private sector undertakings,2-5,2020,,,undertakings,2025-06,pdf_page_11,Private-sector total.
workplace_size,Total private sector undertakings,6-9,550,,,undertakings,2025-06,pdf_page_11,Private-sector total.
workplace_size,Total private sector undertakings,10-19,440,,,undertakings,2025-06,pdf_page_11,Private-sector total.
workplace_size,Total private sector undertakings,20-49,280,,,undertakings,2025-06,pdf_page_11,Private-sector total.
workplace_size,Total private sector undertakings,50+,190,,,undertakings,2025-06,pdf_page_11,Private-sector total.
