Date,TestsTotaltests,TestsTotalsamplestestedpriorto1July2020,TestsTotalsamplestestedsince1July2020,TestsReasonfortestseekinghealthcaresymptomatic,TestsReasonforTestInboundTravel,TestsReasonforTestOnIslandSurveillanceScreening,TestsPendingResults,TestsNegativeTestsPriorto1July2020,TestsNegativeTestssince1July2020,TestsAverageTurnaroundTimeAllSwabsLast7days,TestsTotalNegativeTests,CasesTotalConfirmedPositiveCases,CasesFemalePositiveNumber,CasesMalePositiveNumber,CasesFemalePositivePercentage,CasesMalePositivePercentage,CasesAverageAgeTestedPositive,CasesSeven7DayNumberper100000,CasesFortnight14dayNumberper100000,CasesPositiveCasesIdentifiedPriorto1July2020,CasesPositiveCasesIdentifiedSince1July2020,CasesPositiveCasesIdentifiedSymptomaticIndividualsSeekingHealthcare,CasesPositiveCasesIdentifiedInboundTravelArrivalsScreening,CasesPositiveCasesIdentifiedAdmissionsScreening,CasesPositiveCasesIdentifiedWorkforceScreening,CasesPositiveCasesIdentifiedCohortScreening,CasesPositiveCasesIdentifiedContactTracing,CasesOldCasesConfirmedBySerology,CasesManagedInOtherJurisdictions,CasesCurrentKnownActiveCases,CasesSymptomatic,CasesAsymptomatic,CasesNumberOfKnownDirectContactsOfCurrentActiveCases,CasesDailyNewConfirmedCases,CasesKnownCasesInCareHomes,CasesKnownCasesInCommunity,CasesKnownCasesInHospital,RecoveriesTotalRecovered,RecoveriesFemaleRecoveredNumber,RecoveriesMaleRecoveredNumber,RecoveriesFemaleRecoveredPercentage,RecoveriesMaleRecoveredPercentage,RecoveriesAverageAgeRecovered,MortalityTotalDeaths,MortalityLaboratoryProvenDeaths,MortalityProbableCovid-19,MortalityDeathsGeneralHospital,MortalityDeathsStSaviours,MortalityDeathsCareHomes,MortalityDeathsDomesticProperties,MortalityDeathsAge40to49,Mortalitypercentageregistereddeathsaged40-49,MortalityDeathsAge50to59,Mortalitypercentageregistereddeathsaged50-59,MortalityDeathsAge60to69,Mortalitypercentageregistereddeathsaged60-69,MortalityDeathsAge70to79,Mortalitypercentageregistereddeathsaged70-79,MortalityDeathsAge80to89,Mortalitypercentageregistereddeathsaged80-89,MortalityDeathsAge90andover,Mortalitypercentageregistereddeathsaged90andover,MortalityDeathsFemale,MortalityDeathsMale,InboundTravelPercentageArrivalsScreeningIdentifiedatDay0,InboundTravelPercentageArrivalsScreeningIdentifiedatDay5,InboundTravelPercentageArrivalsScreeningIdentifiedatDay8or10,InboundTravelPercentageArrivingfromRed,InboundTravelPercentageArrivingfromAmber,InboundTravelPercentageArrivingfromGreen,InboundTravelPercentageArrivingbyAir,InboundTravelPercentageArrivingBySea,InboundTravelPercentageTravellersDeclaredasResident,InboundTravelReasonforTravelBusinessVisitortoJersey,InboundTravelReasonforTravelCriticalWorker,InboundTravelReasonforTravelHolidayLeisureVisitortoJersey,InboundTravelReasonforTravelJerseyResidentReturningHome,InboundTravelReasonforTravelNotRecorded,InboundTravelReasonforTravelSeasonalWorker,InboundTravelReasonforTravelUniversityStudentReturningHome,InboundTravelReasonforTravelVisitingFriendsRelativesinJersey,InboundTravelReasonforTravelCrewonInboundCraft,InboundTravelArrivalsfromAmber,InboundTravelArrivalsfromGreen,InboundTravelArrivalsfromRed,InboundTravelPositiveArrivalsByAir,InboundTravelPositiveArrivalsBySea,InboundTravelNumberArrivalsScreeningIdentifiedatDay0,InboundTravelNumberArrivalsScreeningIdentifiedatDay8or10,InboundTravelNumberArrivalsScreeningIdentifiedatDay5,InboundTravelReasonforTravelBoardingSchoolStudentReturningHome,InboundTravelReasonforTravelPercentageBoardingSchoolStudentReturningHome,InboundTravelReasonforTravelPercentageBusinessVisitortoJersey,InboundTravelReasonforTravelPercentageCriticalWorker,InboundTravelReasonforTravelPercentageHolidayLeisureVisitortoJersey,InboundTravelReasonforTravelPercentageJerseyResidentReturningHome,InboundTravelReasonforTravelPercentageNotRecorded,InboundTravelReasonforTravelPercentageSeasonalWorker,InboundTravelReasonforTravelPercentageUniversityStudentReturningHome,InboundTravelReasonforTravelPercentageVisitingFriendsRelativesinJersey,InboundTravelReasonforTravelPercentageCrewonInboundCraft,7DayRate18to39,7DayRate40to59,7DayRateOver60,7DayRateUnder18,TestReasonbyWeekInboundTravel,TestReasonbyWeekOnIslandSurveillanceScreening,TestReasonbyWeekSeekingHealthcareSymptomatic,7DayRatePercentageChange,DateTime,DateTimeShort
2023-02-01,1140136,15802,1124334,103522,486755,534057,72,15482,1058190,4.4,float;#1073672.00000000,66391,35507,30884,0.535,0.465,39,53.8,128.94,320,66084,53624,2515,1128,2411,783,5611,13,55,96,0,0,0,0,2,82,12,66170,35402,30768,0.535,0.465,39,161,144,17,99,3,48,11,2,0.012,7,0.043,14,0.087,31,0.193,57,0.354,50,0.311,0.447,0.553,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,52,85,120,39,,,,-0.333415934,"12:00 AM, Wednesday 1 February 2023","12:00 AM, 1 Feb 2023"
2023-01-31,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 31 January 2023","12:00 AM, 31 Jan 2023"
2023-01-30,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,2080,60,,"12:00 AM, Monday 30 January 2023","12:00 AM, 30 Jan 2023"
2023-01-29,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 29 January 2023","12:00 AM, 29 Jan 2023"
2023-01-28,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 28 January 2023","12:00 AM, 28 Jan 2023"
2023-01-27,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 27 January 2023","12:00 AM, 27 Jan 2023"
2023-01-26,1138497,15802,1122695,103483,486755,532457,65,15482,1056602,5.13,float;#1072084.00000000,66347,35481,30866,0.535,0.465,39,77.92,159.55,320,66040,53591,2515,1118,2411,782,5611,13,55,108,0,0,0,21,1,89,18,66114,35370,30744,0.535,0.465,39,157,140,17,97,3,47,10,2,0.013,6,0.038,13,0.083,30,0.191,56,0.357,50,0.318,0.446,0.554,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,66,85,140,44,,,,0.166641713,"12:00 AM, Thursday 26 January 2023","12:00 AM, 26 Jan 2023"
2023-01-25,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Wednesday 25 January 2023","12:00 AM, 25 Jan 2023"
2023-01-24,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 24 January 2023","12:00 AM, 24 Jan 2023"
2023-01-23,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,2240,60,,"12:00 AM, Monday 23 January 2023","12:00 AM, 23 Jan 2023"
2023-01-22,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 22 January 2023","12:00 AM, 22 Jan 2023"
2023-01-21,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 21 January 2023","12:00 AM, 21 Jan 2023"
2023-01-20,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 20 January 2023","12:00 AM, 20 Jan 2023"
2023-01-19,1136220,15802,1120418,103390,486755,530273,66,15482,1054412,6.21,float;#1069894.00000000,66259,35429,30830,0.535,0.465,39,77.92,259.74,320,65952,53525,2515,1102,2405,782,5611,13,55,126,0,0,0,6,5,116,5,66008,35295,30713,0.535,0.465,39,155,138,17,96,3,46,10,2,0.013,6,0.039,13,0.084,29,0.187,56,0.361,49,0.316,0.445,0.555,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,62,104,84,73,,,,-0.545947206,"12:00 AM, Thursday 19 January 2023","12:00 AM, 19 Jan 2023"
2023-01-18,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Wednesday 18 January 2023","12:00 AM, 18 Jan 2023"
2023-01-17,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 17 January 2023","12:00 AM, 17 Jan 2023"
2023-01-16,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,2080,130,,"12:00 AM, Monday 16 January 2023","12:00 AM, 16 Jan 2023"
2023-01-15,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 15 January 2023","12:00 AM, 15 Jan 2023"
2023-01-14,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 14 January 2023","12:00 AM, 14 Jan 2023"
2023-01-13,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 13 January 2023","12:00 AM, 13 Jan 2023"
2023-01-12,1133952,15802,1118150,103271,486755,528124,43,15482,1052252,5.52,float;#1067734.00000000,66174,35370,30804,0.534,0.466,39,179.96,487.01,320,65867,53451,2515,1096,2401,781,5611,13,55,282,0,0,0,20,13,259,10,65767,35150,30617,0.534,0.466,38,154,137,17,96,3,45,10,2,0.013,6,0.039,13,0.084,29,0.188,55,0.357,49,0.318,0.442,0.558,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,157,249,224,106,,,,-0.337895511,"12:00 AM, Thursday 12 January 2023","12:00 AM, 12 Jan 2023"
2023-01-11,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Wednesday 11 January 2023","12:00 AM, 11 Jan 2023"
2023-01-10,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 10 January 2023","12:00 AM, 10 Jan 2023"
2023-01-09,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,2170,240,,"12:00 AM, Monday 9 January 2023","12:00 AM, 9 Jan 2023"
2023-01-08,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 8 January 2023","12:00 AM, 8 Jan 2023"
2023-01-07,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 7 January 2023","12:00 AM, 7 Jan 2023"
2023-01-06,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 6 January 2023","12:00 AM, 6 Jan 2023"
2023-01-05,1131670,15802,1115868,103036,486755,526077,224,15482,1049987,5.33,float;#1065469.00000000,65976,35248,30728,0.534,0.466,39,303.34,762.52,320,65669,53278,2515,1083,2401,769,5611,13,55,515,0,0,0,35,14,495,6,65337,34932,30405,0.535,0.465,38,150,133,17,92,3,45,10,2,0.013,6,0.04,12,0.08,28,0.187,53,0.353,49,0.327,0.447,0.553,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,299,439,393,68,,,,-0.28445734,"12:00 AM, Thursday 5 January 2023","12:00 AM, 5 Jan 2023"
2023-01-04,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Wednesday 4 January 2023","12:00 AM, 4 Jan 2023"
2023-01-03,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 3 January 2023","12:00 AM, 3 Jan 2023"
2023-01-02,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,1400,330,,"12:00 AM, Monday 2 January 2023","12:00 AM, 2 Jan 2023"
2023-01-01,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 1 January 2023","12:00 AM, 1 Jan 2023"
2022-12-31,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 31 December 2022","12:00 AM, 31 Dec 2022"
2022-12-30,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 30 December 2022","12:00 AM, 30 Dec 2022"
2022-12-29,1129207,15802,1113405,102614,486755,524036,64,15482,1048021,5.05,float;#1063503.00000000,65639,35074,30565,0.534,0.466,39,449.91,1207.79,320,65332,52980,2515,1076,2384,754,5611,13,55,765,0,0,0,68,16,729,20,64753,34611,30142,0.535,0.465,38,146,129,17,89,3,44,10,2,0.014,6,0.041,12,0.082,27,0.185,53,0.363,46,0.315,0.432,0.568,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,394,640,561,184,,,,-0.409256828,"12:00 AM, Thursday 29 December 2022","12:00 AM, 29 Dec 2022"
2022-12-28,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Wednesday 28 December 2022","12:00 AM, 28 Dec 2022"
2022-12-27,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 27 December 2022","12:00 AM, 27 Dec 2022"
2022-12-26,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,2410,580,,"12:00 AM, Monday 26 December 2022","12:00 AM, 26 Dec 2022"
2022-12-25,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 25 December 2022","12:00 AM, 25 Dec 2022"
2022-12-24,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 24 December 2022","12:00 AM, 24 Dec 2022"
2022-12-23,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 23 December 2022","12:00 AM, 23 Dec 2022"
2022-12-22,1127191,15802,1111389,102071,486755,522563,194,15482,1046384,6.11,float;#1061866.00000000,65130,34784,30346,0.534,0.466,38,735.62,1414.66,320,64823,52534,2515,1069,2356,737,5600,13,55,1047,0,0,0,107,23,998,26,63965,34132,29833,0.534,0.466,38,146,129,17,89,3,44,10,2,0.014,6,0.041,12,0.082,27,0.185,53,0.363,46,0.315,0.432,0.568,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,787,1092,785,165,,,,0.07452527,"12:00 AM, Thursday 22 December 2022","12:00 AM, 22 Dec 2022"
2022-12-21,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Wednesday 21 December 2022","12:00 AM, 21 Dec 2022"
2022-12-20,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 20 December 2022","12:00 AM, 20 Dec 2022"
2022-12-19,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,2390,610,,"12:00 AM, Monday 19 December 2022","12:00 AM, 19 Dec 2022"
2022-12-18,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 18 December 2022","12:00 AM, 18 Dec 2022"
2022-12-17,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 17 December 2022","12:00 AM, 17 Dec 2022"
2022-12-16,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 16 December 2022","12:00 AM, 16 Dec 2022"
2022-12-15,1123601,15802,1107799,101129,486755,519915,116,15482,1043686,5.77,float;#1059168.00000000,64316,34314,30002,0.534,0.466,38,658.63,1099.26,320,64009,51777,2515,1049,2331,725,5600,13,55,815,0,0,0,104,58,734,23,63329,33767,29562,0.533,0.467,38,144,127,17,87,3,44,10,2,0.014,6,0.042,11,0.076,27,0.188,53,0.368,45,0.312,0.424,0.576,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,686,899,769,281,,,,0.332099589,"12:00 AM, Thursday 15 December 2022","12:00 AM, 15 Dec 2022"
2022-12-14,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Wednesday 14 December 2022","12:00 AM, 14 Dec 2022"
2022-12-13,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Tuesday 13 December 2022","12:00 AM, 13 Dec 2022"
2022-12-12,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,2620,530,,"12:00 AM, Monday 12 December 2022","12:00 AM, 12 Dec 2022"
2022-12-11,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Sunday 11 December 2022","12:00 AM, 11 Dec 2022"
2022-12-10,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Saturday 10 December 2022","12:00 AM, 10 Dec 2022"
2022-12-09,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,-1,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,"12:00 AM, Friday 9 December 2022","12:00 AM, 9 Dec 2022"
2022-12-08,1120328,15802,1104526,100302,486755,517469,142,15482,1041108,6.1,float;#1056590.00000000,63595,33896,29699,0.533,0.467,38,430.43,709.65,320,63288,51139,2515,1027,2299,696,5600,13,55,514,0,0,0,106,37,461,16,62909,33524,29385,0.533,0.467,38,142,125,17,86,3,43,10,2,0.014,6,0.042,11,0.077,26,0.183,53,0.373,44,0.31,0.415,0.585,0.933,0.03,0.037,0.111,0.033,0.856,0.844,0.156,0.278,25226,9659,172356,156126,6873,3487,4367,66210,2569,84,2152,279,2122,393,2347,93,75,1746,0.004,0.056,0.022,0.384,0.348,0.015,0.008,0.01,0.148,0.006,463,590,393,276,,,,0.501639687,"12:00 AM, Thursday 8 December 2022","12:00 AM, 8 Dec 2022"
